# --------------------------------------------------------------
# Station name       Lat     Lon                 Description
# --------------------------------------------------------------
PW6                 45.00  -140.00   PEM West A B TRACE 
PWW                 33.45  -114.57   Phoenix (WW) Arizona 
REG                 50.21  -104.70   Regina (Bratt's Lake) 
RES                 74.70   -95.00   Resolute Canada
REU                -21.17    55.83   Reunion Island Indian O.
REY                 64.13   -21.25   Reykjavik Iceland
RIK                 43.50   143.80   Rikubetsu Japan
RIO                -22.80    43.20   Rio de Janerio Brazil
RIS                 45.12   141.24   Rishiri Japan 
RPB                 13.17   -59.43   Ragged Pt. Barbados 
RPI                 38.00   -87.00   Rockport Indiana
RYO                 39.00   142.00   Ryori Japan
SAD                 38.25   138.40   Sado-seki Japan
SAN                 18.14   109.31   Sanya
SANCRIS             -0.92   -89.60   San Cristobal Island Ecuador
SANT                28.35   -16.25   Santa Cruz Canary Islands
SAO                -23.55   -46.65   Sao Paulo Brazil 
SAP                 43.00   141.30   Sapporo Japan
SBA                 34.24  -119.41   Amtrak - SBA Santa Barbara 
SCO                 70.50   -22.00   Scoresbysund Greenland
SCR                 42.00   -73.00   Scranton Pennsylvania
SEQ                 36.57  -118.78   Sequoia/Kings Canyon National Parks, CA
SEY                 -4.67    55.17   Mahe Island Saychelles Indian O. 
SGA                -58.00   -38.00   South Georgia Island Atlantic O. 
SGI                -54.00   -38.05   Bird Island South Georgia Atlantic 
SHA                 31.19   121.80   Shanghai Airport China
SHM                 52.72   174.10   Shemya Island Alaska 
SHU                 38.52   -78.44   Shenandoah National Park, VA
SIO                 32.83  -117.27   Scripps La Jolla California
SLC                 40.77  -111.88   Salt Lake City Utah
SMO                -14.25  -170.57   Tutuila American Samoa Pacific O. 
SMT                 30.11   -84.99   Sumatra, FL
SNC                 -0.92   -89.60   San Cristobal Galapogos
SOC                 34.05  -106.88   Socorro New Mexico 
SOD                 67.30    26.50   Sodankyla Finland
SOF                 43.00    23.00   Sofia Bulgaria
SON                 47.05    12.95   Sonnblick Austria
SPO                -89.98   -24.80   South Pole Antarctica 
STC                 54.00   -35.00   Ocean Station C Atlantic O. 
STM                 66.00     2.00   Ocean Station M Norwegian Sea 
STR                 58.00    -5.00   StrathVaich England
SUM                 72.58   -38.48   Summit Greenland
SUVA               -18.13   178.40   Suva Harbor Fiji 
SX1                 45.00   -60.00   SONEX 1
SX2                 50.00   -45.00   SONEX 2
SX3                 53.00   -15.00   SONEX 3
SX4                 42.00   -15.00   SONEX 4
SX5                 45.00   -23.00   SONEX 5
SYG                -26.00  -105.00   Sala y Gomez Pacific O. 
SYO                -69.00    39.58   Syowa Antarctica
TA1                 15.00   -50.00   Trace-A 1
TA2                -30.00   -35.00   Trace-A 2
TA3                -40.00   -40.00   Trace-A 3
TA4                -18.00     5.00   Trace-A 4
TA5                -42.00   -10.00   Trace-A 5
TA6                -42.00    40.00   Trace-A 6
TAE                 24.95   121.49   Taipei 
TAH                -18.00  -149.00   Tahiti Pacific O. 
TAI                 22.00   121.40   Taiwan 
TAP                 36.73   126.13   Tae-ahn Peninsula Korea 
TAPPI               41.25   140.35   Tappi Japan
TAT                 36.00   140.00   Tateno Japan
TDF                -54.87   -68.48   Tierra del Fuego Argentina
TEH                 35.68    51.33   Tehran Iran
TEL                 32.00    34.89   Ben Gurion International Airport near 
TEN                 25.01    98.30   Tengchong
TOKY                35.80   140.40   Tokyo Japan
TRH                 40.80  -124.16   Trinidad Head California 
TRI                -37.00   -12.00   Tristanda Cunha Atlantic O.
TUV                 -8.50  -179.20   Tuvalu Pacific O. 
TVD                  8.00    77.00   Trivandrum India
UCC                 50.77     4.35   Uccle Belgiam
UNI                 43.61   -83.36   Unionville, MI
USH                -54.80   -68.30   Ushuaia Argentina
UTA                 39.90  -113.72   Wendover Utah
UUM                 44.45   111.10   Ulaan Uul Mongolia 
VEN                  9.00   -63.00   Venezuela 
VIE                 48.20    16.57   Vienna Austria
WAS                 40.31   -74.87   Washington's Crossing, NJ
WAT                 -7.60   112.65   Watukosek Java Indonesia 
WIN                -22.40    17.40   Windhoek Namibia
WIS                 31.13    34.88   Sede Boker Negev Desert Israel 
WKT                 31.32   -97.62   Moody Texas
WLG                 36.27   100.92   Waliguan Qinghai China 
WLI                 37.90   -75.50   Wallops Island Virginia 
WNY                 44.00   -74.00   Whiteface Mountain New York
XIN                 36.43   101.45   Xining
YAR                 43.80   -66.10   Yarmouth, Candada
YEL                 44.56  -110.40   Yellowstone NP WY
YNC                -22.15   167.00   Yate New Caledonia Pacific O. 
YON                 24.47   123.02   Yonagunijima Japan
YUS                 33.37   132.93   Yusahara Japan
ZEP                 78.90    11.88   Ny-Alesund Zeppelin Svalbard Norway
ZIN                 54.43    12.73   Zingst Germany
ZUG                 47.42    10.98   Zugspitze
ZVE                 56.00    36.00   Zvenigorod Russia
